,query_2011,type_2011,value_2011,query_2012,type_2012,value_2012,query_2013,type_2013,value_2013,query_2014,type_2014,value_2014,query_2015,type_2015,value_2015,query_2016,type_2016,value_2016,query_2017,type_2017,value_2017,query_2018,type_2018,value_2018,query_2019,type_2019,value_2019,query_2020,type_2020,value_2020,query_2021,type_2021,value_2021,query_2022,type_2022,value_2022
0,muhteşem yüzyıl,TV dizisi,5950,ask.fm,Konu,9200,güneşi beklerken,Dizi,7250,zaman,Boyut,48500,kiralık aşk,TV dizisi,11950,letgo,Konu,2650,puhu tv,İnsan dili,4800,sen anlat karadeniz,Televizyon dizisi,11700,mucize doktor,Televizyon dizisi,6350,sokağa çıkma yasağı,Konu,10400,dizipal,,4850,brent petrol,Konu,2350
1,acunn,Youtube kanalı,4950,gangnam style,Psy tarafından yazılan şarkı,6500,halk tv,TV kanalı,1800,araba,Ulaşım şekli,39850,agar io,Video oyunu,6100,bir garip aşk,TV programı,1250,isimsizler,TV programı,4250,e devlet soy ağacı,,2950,kandilli rasathanesi,"İstanbul, Türkiye'de bir rasathane",400,koronavirüs,Virüs,9800,_shopping,,2500,disney plus,Kitap,1800
2,bombom,Video oyunu,3400,hahasport,,2100,bicaps,Bitki,1200,meb,Web sitesi,29950,agario,Video oyunu,3550,kısmetse olur,Gülden Karaböcek'in şarkısı,550,milli piyango 2017,Voleybolcu,1650,facebook hoşgeldin,Oyuncu,750,benz,Konu,350,coronavirus,Virüs,5450,dogecoin,Kripto para,2350,öba,İsveç'te bir şehir,1800
3,morpa kampüs,Yazılım,600,yandex,Konu,1750,legend online,Video oyunu,600,canlı tv,Yazılım,20400,agarz,Video oyunu,2500,edevlet giriş,,500,gece gölgenin rahatına bak,Çağatay Akman'ın şarkısı,450,çukur son bölüm,,750,son depremler,,200,yarınki hava durumu,,5400,exxen,Yazılım,1650,dünya kupası,Futbol ligi,650
4,e devlet,Türkiye,550,tubidy,Konu,800,outlook,Web sitesi,450,avea,Şirket,20150,facebook giriş yap,Konu,1000,kismetse olur,,400,içerde son bölüm,,250,dünya kupası,Futbol ligi,700,seçim sonuçları,Konu,190,corona belirtileri,,3350,binance,Konu,1400,hektaş hisse,,250
5,grupfoni,Konu,550,vip dükkan,Şirket,550,amk,Gazete,350,mp3 indir,Yazılım,20150,fuat avni,Konu,300,iphone 7,Bilgisayar,300,instagram giriş,Konu,250,youtube mp3 donustusturucu,Yazılım,600,beinsport,,180,fahrettin koca,Türkiye Sağlık Bakanı,2450,selçukspor,Futbol takımı,850,trt1 canlı,Televizyon kanalı,170
6,wolfteam,Video oyunu,500,dizimag,,500,sözcü,Gazete,300,sgk,Konu,19800,hızlı ve öfkeli 7,2015 yapımı film,300,garanti internet bankacılığı,Banka,300,son depremler,,200,ceyrek altin ne kadar,,450,netflix,İnternet sitesi,160,hes kodu alma,,2100,sedat peker,Youtuber,800,iphone 13 pro max,Bilgisayar,170
7,trendyol,Özel şirket,500,youtube mp3,İnternet sitesi,450,kliksa,Konu,300,galatasaray,Futbol takımı,19750,dizibox,,300,fesbuk giriş,,300,haber 7,Konu,120,çukur,Dizi,350,e nabız,İnternet sitesi,150,savefrom.net,,1000,bitcoin kaç dolar,,550,weather,Konu,140
8,edevlet,,450,kim milyoner olmak ister,TV programı,300,tozlu giyim,Konu,200,my,Yazılım,14800,tv8,TV kanalı,250,facebook giris,"Erzurum, Türkiye'de bir üniversite bölümü",300,whatsapp web,Şarkı,110,canlı döviz,Yazılım,250,süperlig,,120,zoom,Yazılım,1000,coinmarketcap,Konu,550,e devlet giriş,İnternet sitesi,130
9,markofoni,,250,transformice,Video oyunu,300,youtube dönüştürücü,Yazılım,170,youtube dönüştürücü,Yazılım,14350,niloya,Müzisyen,250,android oyun club,Video oyunu,250,hm,Devlet dairesi,110,dolar kuru,Konu,250,justin tv,Konu,110,eba giriş,,900,paribu,"İstanbul, Türkiye'de bir finans kurumu",500,sasa hisse,Eski futbolcu,130
10,sahibinden com,İnternet sitesi,200,arsız bela,,300,youtube mp3 dönüştürücü,Yazılım,150,minecraft,Video oyunu,13700,eba,Şirket,200,hint dizileri,,250,netspor,"Cary, Kuzey Carolina'da bir spor kulübü",110,döviz kurları,Yazılım,200,ziraat bankası,Banka,90,eba öğrenci giriş,,800,euro 2020,Spor ligi sezonu,450,obilet,Konu,120
11,limango,Şirket,200,morhipo,Şirket,300,ask fm,Konu,140,pepe,Eski Brezilya Spor Bakanı,13700,facebook giriş,Kaan Gülten tarafından yazılan kitap,200,eşkiya dünyaya hükümdar olmaz son bölüm,,250,edevlet giriş,,100,hepsi burada,,200,twitter türk,Sosyal ağ hizmetleri,90,eba öğrenci girişi,,650,selçuksports,,400,vavacars,Şirket,120
12,ttnet müzik,Konu,200,pepe,Eski Brezilya Spor Bakanı,250,odatv,Web sitesi,140,milli piyango,Konu,13650,happy wheels,Video oyunu,200,eba,Şirket,250,modaselvim,Konu,90,facebok giriş,,200,ptt kargo,Konu,90,eba,Şirket,600,taraftarium 24,,400,dolar/tl,,110
13,twitter,Şirket,170,acunn,Youtube kanalı,190,mhrs,Yazılım,120,ttnet,Şirket,13450,onedio,"Ankara, Türkiye'de bir medya şirketi",190,türk telekom,Şirket,250,süper lig puan durumu,Konu,80,ufak tefek cinayetler,TV dizisi,200,aras kargo takip,,80,e nabız,İnternet sitesi,300,bitcoin,Kripto para,350,fed faiz kararı,,110
14,markafoni,,160,f acebook,,170,foursquare,Sosyal ağ,120,fenerbahçe,Futbol takımı,13150,e devlet giriş,İnternet sitesi,180,tjk sonuç,,200,garanti internet bankacılığı,Banka,80,dolar,Para Birimi,150,bmw,Otomobil markası,80,xiaomi redmi note 8,Konu,190,postegro,,300,ssstiktok,Konu,110
15,öyle bir geçer zamanki,,150,www.google.com,Bloomsbury Grubu tarafından yazılan kitap,160,omegle,İnternet sitesi,100,kiraz mevsimi,Dizi,12600,sungurlar,Televizyon dizisi,170,eşkiya dünyaya hükümdar olmaz,Dizi,180,trivago,Konu,80,altın fiyatları bugün,,150,namaz vakitleri,Yazılım,70,gram altın,Konu,170,1 dolar kaç tl,,300,liverpool,Futbol takımı,100
16,friv,Konu,150,pepee,Konu,120,dizimag,,100,metro,Taşıma hizmeti türü,12150,faceboook,,170,ziraat internet bankacılığı,,170,dolar kuru,Konu,70,bein sport,Türkiye,140,altın in,Kitap,70,iphone 11,Konu,160,selcuksports,,250,superlig,Futbol ligi,100
17,yabancı dizi izle,Konu,150,lcw,Konu,110,o ses türkiye,TV programı,90,fox,TV kanalı,11900,e okul veli,Konu,160,ösym giriş,,160,süper lig,Futbol ligi,70,facebook giriş,Kaan Gülten tarafından yazılan kitap,140,taraftarium,,70,whatsapp web,Şarkı,160,dolar/tl,,250,e devlet giris,"İstanbul, Türkiye'de bir kule",80
18,you tube,Kitap,120,twitter,Şirket,110,sign in,Yazılım,90,hd film izle,,11850,sozcu,Gazete,130,e devlet giriş,İnternet sitesi,160,investing,İnternet sitesi,70,döviz,Konu,140,huawei,Şirket,70,tv8 canlı,Televizyon kanalı,130,aöl,Konu,200,otobüs bileti,Türkiye'de bir otobüs firması,80
19,altın fiyatları,"Karaman, Türkiye'de bir mücevher toptancısı",120,hd film izle,,100,hastane randevu,,90,ssk,Konu,11800,dolar,Para Birimi,120,gmail oturum aç,,150,zara,Şirket,60,gitti gidiyor,Şirket,140,web whatsapp,Şarkı,70,interaktif vergi dairesi,,130,dolar tl,Para Birimi,200,1001 oyun,Konu,80
20,ateş ve su,Video oyunu,110,odnoklassniki,Web sitesi,90,tumblr,Sosyal ağ,90,pegasus,Havayolu şirketi,11700,survivor,TV programı,120,whatsapp web,Şarkı,150,çiçek sepeti,Konu,60,anlık altın,Yazılım,140,kredi hesaplama,,70,altın yorum,,130,dolar kaç tl,,190,o bilet,Kitap,70
21,altın,Element,110,star tv,TV kanalı,90,aktif haber,"Karamürsel, Türkiye'de bir gazete yayıncısı",80,kurtlar vadisi pusu,TV dizisi,11650,internethaber,Konu,120,hotmail oturum aç,,130,decathlon,Şirket,60,dolar kaç tl,,120,xiaomi,Şirket,70,e-devlet,Türkiye,130,1 dolar,Konu,180,osym,"Ankara, Türkiye'de bir devlet dairesi",70
22,sünger bob izle,,110,canlı skor,Yazılım,90,tubidy,Konu,80,mp3 dönüştürücü,Yazılım,11450,ntv spor,Konu,110,agarz,Video oyunu,120,dolar,Para Birimi,50,milli piyango sorgula,,120,fox tv,TV kanalı,60,kandilli rasathanesi,"İstanbul, Türkiye'de bir rasathane",120,tradingview,Sosyal ağ hizmetleri,170,jojobet,Olay,60
23,iki kişilik oyunlar,Video oyunu,90,friv,Konu,80,skype,İndirilebilir Yazılım,70,tumblr,Sosyal ağ,11250,son dakika haberler,2021 yapımı film,90,yutup,,120,eba giriş,,50,euro kuru,Konu,120,gratis,Konu,60,bloomberght,TV ağı,120,taraftarium,,170,selçuksports,,60
24,youtube,Şirket,90,faceboook,,80,google,Şirket,70,meteoroloji,Konu,10850,istanbul hava durumu,,90,fecebok,,120,odatv,Web sitesi,50,serbest piyasa döviz,Yazılım,120,trt spor,Konu,60,tv8,TV kanalı,110,mhrs randevu,Yazılım,170,modamızbir,Konu,60
